permno,date,ret,dlret,shrout,prc,vol,exchcd,ret_adj
41726,1995-10-31,0.0125,,23193.0,20.25,4627.0,1,0.0124999999999999
32870,2010-03-31,0.021892,,133648.0,42.01,114323.0,1,0.021892
89810,2005-05-31,0.157407,,198602.0,3.75,25695.0,1,0.157407
75585,2002-06-28,-0.069196,,7837.0,4.17,3152.0,3,-0.069196
80791,2010-03-31,0.127032,,61941.0,26.35,226549.0,3,0.127032
23894,1957-02-28,-0.003559,,1875.0,35.0,402.0,1,-0.0035589999999999
83665,2001-08-31,-0.03125,,6230.0,4.65,336.0,3,-0.03125
78527,1987-12-31,-0.241379,,5389.0,5.5,588.0,3,-0.241379
75631,2005-10-31,-0.05123,,20246.0,4.63,3289.0,1,-0.05123
34631,1977-07-29,-0.037438,,4877.0,-23.875,,3,-0.0374379999999999
81776,2000-08-31,0.078652,,69611.0,18.0,12710.0,1,0.0786519999999999
32651,2009-08-31,-0.053968,,236575.0,2.98,1557181.0,1,-0.053968
76623,1992-08-31,-0.031746,,5069.0,15.25,3115.0,3,-0.031746
89211,2013-10-31,0.0277,,4819.0,51.2,2321.0,3,0.0277
83640,1997-05-30,-0.228571,,6993.0,-0.84375,733.0,3,-0.2285709999999999
58704,1997-11-28,0.043478,,12685.0,4.5,4080.0,1,0.0434779999999999
80117,1994-09-30,-0.111111,,12534.0,2.0,16697.0,3,-0.1111109999999999
48557,1978-09-29,0.384615,,6405.0,6.75,15252.0,1,0.3846149999999999
80383,1995-09-29,-0.285714,,12702.0,1.875,8961.0,2,-0.285714
90200,2005-07-29,0.031835,,64877.0,22.04,50503.0,1,0.031835
66230,1984-04-30,0.083333,,1950.0,-8.125,909.0,3,0.0833330000000001
41064,1998-09-30,0.616046,,52416.0,35.25,189345.0,1,0.6160459999999999
10587,1987-09-30,0.0,,4846.0,-3.8125,1462.0,3,0.0
93372,2020-12-31,0.10046,,22857.0,42.77,24749.0,1,0.10046
88271,2007-08-31,0.012048,,132245.0,1.68,219105.0,3,0.012048
75030,1993-11-30,-0.012295,,383270.0,30.125,500239.0,3,-0.0122949999999999
13887,2016-08-31,-0.079492,,33502.0,13.78,91083.0,1,-0.079492
32088,1962-11-30,-0.071429,,3115.0,1.625,127.0,2,-0.0714289999999999
75962,2007-05-31,0.169291,,40014.0,2.97,67578.0,2,0.169291
87406,2001-05-31,0.534989,,34830.0,13.6,119177.0,3,0.5349889999999999
