caldt,t30ret
1984-10-31,0.009766
1984-11-30,0.007334
1984-12-31,0.006923
1985-01-31,0.006474
1985-02-28,0.006033
1985-03-29,0.006160
1985-04-30,0.007565
1985-05-31,0.006062
1985-06-28,0.005546
1985-07-31,0.006196
1985-08-30,0.005792
1985-09-30,0.006049
1985-10-31,0.006021
1985-11-29,0.006156
1985-12-31,0.006139
1986-01-31,0.004865
1986-02-28,0.005296
1986-03-31,0.005963
1986-04-30,0.005341
1986-05-30,0.004934
1986-06-30,0.005246
1986-07-31,0.005011
1986-08-29,0.004614
1986-09-30,0.004783
1986-10-31,0.004209
1986-11-28,0.003924
1986-12-31,0.004767
1987-01-30,0.004151
1987-02-27,0.004309
1987-03-31,0.005012
1987-04-30,0.004285
1987-05-29,0.003760
1987-06-30,0.005031
1987-07-31,0.004058
1987-08-31,0.004744
1987-09-30,0.004820
1987-10-30,0.006040
1987-11-30,0.003366
1987-12-31,0.002988
1988-01-29,0.002762
1988-02-29,0.004564
1988-03-31,0.004402
1988-04-29,0.004577
1988-05-31,0.005051
1988-06-30,0.004832
1988-07-29,0.005060
1988-08-31,0.005957
1988-09-30,0.006145
1988-10-31,0.006074
1988-11-30,0.005742
1988-12-30,0.006306
1989-01-31,0.005766
1989-02-28,0.006110
1989-03-31,0.006213
1989-04-28,0.006810
1989-05-31,0.008006
1989-06-30,0.007147
1989-07-31,0.007040
1989-08-31,0.006684
1989-09-29,0.006387
1989-10-31,0.006820
1989-11-30,0.006340
1989-12-29,0.005941
1990-01-31,0.005852
1990-02-28,0.005818
1990-03-30,0.006380
1990-04-30,0.006829
1990-05-31,0.006404
1990-06-29,0.005898
1990-07-31,0.006704
1990-08-31,0.006154
1990-09-28,0.005984
1990-10-31,0.006559
1990-11-30,0.005651
1990-12-31,0.005989
1991-01-31,0.004637
1991-02-28,0.004767
1991-03-28,0.004391
1991-04-30,0.005335
1991-05-31,0.004461
1991-06-28,0.004171
1991-07-31,0.004840
1991-08-30,0.004610
1991-09-30,0.004558
1991-10-31,0.004246
1991-11-29,0.003915
1991-12-31,0.003792
1992-01-31,0.003059
1992-02-28,0.002828
1992-03-31,0.003376
1992-04-30,0.003303
1992-05-29,0.002758
1992-06-30,0.003201
1992-07-31,0.002892
1992-08-31,0.002605
1992-09-30,0.002573
1992-10-30,0.002286
1992-11-30,0.002346
1992-12-31,0.002270
1993-01-29,0.002335
1993-02-26,0.002209
1993-03-31,0.002538
1993-04-30,0.002372
1993-05-28,0.002168
1993-06-30,0.002756
1993-07-30,0.002402
1993-08-31,0.002530
1993-09-30,0.002356
1993-10-29,0.002210
1993-11-30,0.002477
1993-12-31,0.002263
1994-01-31,0.002503
1994-02-28,0.002120
1994-03-31,0.002469
1994-04-29,0.002711
1994-05-31,0.003150
1994-06-30,0.003118
1994-07-29,0.002751
1994-08-31,0.003687
1994-09-30,0.003659
1994-10-31,0.003840
1994-11-30,0.003691
1994-12-30,0.004430
1995-01-31,0.004156
1995-02-28,0.003983
1995-03-31,0.004134
1995-04-28,0.004450
1995-05-31,0.005355
1995-06-30,0.004714
1995-07-31,0.004522
1995-08-31,0.004637
1995-09-29,0.004309
1995-10-31,0.004714
1995-11-30,0.004108
1995-12-29,0.004882
1996-01-31,0.004278
1996-02-29,0.003908
1996-03-29,0.003943
1996-04-30,0.004579
1996-05-31,0.003982
1996-06-28,0.004000
1996-07-31,0.004497
1996-08-30,0.004122
1996-09-30,0.004375
1996-10-31,0.004246
1996-11-29,0.003941
1996-12-31,0.004404
1997-01-31,0.004014
1997-02-28,0.003788
1997-03-31,0.004310
1997-04-30,0.004313
1997-05-30,0.004263
1997-06-30,0.003744
1997-07-31,0.004294
1997-08-29,0.004058
1997-09-30,0.004576
1997-10-31,0.003911
1997-11-28,0.003773
1997-12-31,0.004629
1998-01-30,0.004204
1998-02-27,0.003847
1998-03-31,0.004485
1998-04-30,0.004308
1998-05-29,0.003805
1998-06-30,0.004021
1998-07-31,0.003873
1998-08-31,0.004012
1998-09-30,0.003875
1998-10-30,0.003353
1998-11-30,0.003233
1998-12-31,0.003779
1999-01-29,0.003494
1999-02-26,0.003372
1999-03-31,0.004076
1999-04-30,0.003784
1999-05-28,0.003463
1999-06-30,0.004098
1999-07-30,0.003658
1999-08-31,0.003876
1999-09-30,0.003705
1999-10-29,0.003581
1999-11-30,0.003811
1999-12-31,0.003764
2000-01-31,0.004343
2000-02-29,0.004295
2000-03-31,0.004377
2000-04-28,0.004595
2000-05-31,0.004782
2000-06-30,0.003744
2000-07-31,0.004772
2000-08-31,0.005002
2000-09-29,0.005093
2000-10-31,0.005217
2000-11-30,0.004966
2000-12-29,0.004909
2001-01-31,0.005243
2001-02-28,0.003653
2001-03-30,0.004320
2001-04-30,0.003864
2001-05-31,0.003183
2001-06-29,0.002778
2001-07-31,0.002999
2001-08-31,0.002996
2001-09-28,0.002730
2001-10-31,0.002154
2001-11-30,0.001749
2001-12-31,0.001484
2002-01-31,0.001390
2002-02-28,0.001285
2002-03-28,0.001341
2002-04-30,0.001546
2002-05-31,0.001442
2002-06-28,0.001312
2002-07-31,0.001507
2002-08-30,0.001402
2002-09-30,0.001414
2002-10-31,0.001334
2002-11-29,0.001166
2002-12-31,0.001079
2003-01-31,0.000934
2003-02-28,0.000871
2003-03-31,0.001020
2003-04-30,0.000939
2003-05-30,0.000903
2003-06-30,0.000984
2003-07-31,0.000674
2003-08-29,0.000689
2003-09-30,0.000865
2003-10-31,0.000700
2003-11-28,0.000725
2003-12-31,0.000831
2004-01-30,0.000696
2004-02-27,0.000623
2004-03-31,0.000844
2004-04-30,0.000795
2004-05-28,0.000603
2004-06-30,0.000817
2004-07-30,0.000919
2004-08-31,0.001116
2004-09-30,0.001185
2004-10-29,0.001129
2004-11-30,0.001541
2004-12-31,0.001672
2005-01-31,0.001661
2005-02-28,0.001641
2005-03-31,0.002123
2005-04-29,0.002072
2005-05-31,0.002395
2005-06-30,0.002263
2005-07-29,0.002383
2005-08-31,0.002920
2005-09-30,0.002848
2005-10-31,0.002728
2005-11-30,0.003045
2005-12-30,0.003160
2006-01-31,0.003488
2006-02-28,0.003322
2006-03-31,0.003642
2006-04-28,0.003559
2006-05-31,0.004195
2006-06-30,0.003970
2006-07-31,0.003976
2006-08-31,0.004283
2006-09-29,0.004047
2006-10-31,0.004076
2006-11-30,0.004243
2006-12-29,0.004036
2007-01-31,0.004328
2007-02-28,0.003837
2007-03-30,0.004257
2007-04-30,0.004348
2007-05-31,0.004046
2007-06-29,0.003918
2007-07-31,0.003962
2007-08-31,0.004205
2007-09-28,0.003347
2007-10-31,0.003212
2007-11-30,0.003395
2007-12-31,0.002921
2008-01-31,0.002430
2008-02-29,0.001325
2008-03-31,0.001869
2008-04-30,0.001025
2008-05-30,0.000946
2008-06-30,0.001750
2008-07-31,0.001440
2008-08-29,0.001282
2008-09-30,0.001530
2008-10-31,0.000792
2008-11-28,0.000228
2008-12-31,0.000029
2009-01-30,0.000023
2009-02-27,0.000147
2009-03-31,0.000159
2009-04-30,0.000125
2009-05-29,0.000017
2009-06-30,0.000075
2009-07-31,0.000119
2009-08-31,0.000116
2009-09-30,0.000079
2009-10-30,0.000040
2009-11-30,0.000004
2009-12-31,0.000062
2010-01-29,0.000028
2010-02-26,0.000010
2010-03-31,0.000068
2010-04-30,0.000111
2010-05-28,0.000112
2010-06-30,0.000127
2010-07-30,0.000142
2010-08-31,0.000126
2010-09-30,0.000125
2010-10-29,0.000112
2010-11-30,0.000114
2010-12-31,0.000140
2011-01-31,0.000066
2011-02-28,0.000122
2011-03-31,0.000067
2011-04-29,0.000053
2011-05-31,0.000013
2011-06-30,0.000035
2011-07-29,-0.000028
2011-08-31,0.000083
2011-09-30,-0.000001
2011-10-31,0.000014
2011-11-30,0.000004
2011-12-30,0.000000
2012-01-31,-0.000002
2012-02-29,0.000031
2012-03-30,0.000046
2012-04-30,0.000029
2012-05-31,0.000065
2012-06-29,0.000022
2012-07-31,0.000032
2012-08-31,0.000050
2012-09-28,0.000067
2012-10-31,0.000037
2012-11-30,0.000085
2012-12-31,0.000103
2013-01-31,0.000022
2013-02-28,0.000054
2013-03-28,0.000041
2013-04-30,0.000037
2013-05-31,0.000012
2013-06-28,0.000013
2013-07-31,0.000009
2013-08-30,0.000009
2013-09-30,0.000008
2013-10-31,0.000017
2013-11-29,0.000032
2013-12-31,0.000023
2014-01-31,0.000012
2014-02-28,0.000045
2014-03-31,0.000028
2014-04-30,0.000015
2014-05-30,0.000008
2014-06-30,0.000020
2014-07-31,0.000013
2014-08-29,0.000003
2014-09-30,0.000004
2014-10-31,0.000012
2014-11-28,-0.000001
2014-12-31,0.000005
2015-01-30,0.000013
2015-02-27,-0.000021
2015-03-31,-0.000008
2015-04-30,0.000029
2015-05-29,-0.000005
2015-06-30,0.000004
2015-07-31,-0.000037
2015-08-31,0.000027
2015-09-30,-0.000006
2015-10-30,-0.000027
2015-11-30,0.000020
2015-12-31,0.000103
2016-01-29,0.000037
2016-02-29,0.000205
2016-03-31,0.000190
2016-04-29,0.000051
2016-05-31,0.000115
2016-06-30,0.000188
2016-07-29,0.000171
2016-08-31,0.000165
2016-09-30,0.000219
2016-10-31,0.000168
2016-11-30,0.000136
2016-12-30,0.000239
